;nodAseq1;nodAseq2;nodAseq3;nodAseq4;nodAseq5;nodAseq6;nodAseq8;nodAseq9;nodAseq10;nodAseq11;nodAseq12;nodAseq13;nodAseq14;nodAseq15;nodAseq16;nodAseq17;nodAseq18;nodAseq19;nodAseq20;nodAseq21;nodAseq22;nodDseq1;nodDseq2;nodDseq3;nodDseq5;nodDseq6;nodDseq7;nodDseq8;nodDseq10;nodDseq11;nodDseq12;nodDseq13;nodDseq14;nodDseq16;nodDseq17;nodDseq18;nodDseq19;nodDseq20;recAseq1;recAseq2;recAseq3;recAseq4;recAseq5;recAseq6;recAseq7;recAseq8;recAseq9;recAseq10;recAseq11;recAseq12;recAseq13;rpoBseq1;rpoBseq2;rpoBseq3;rpoBseq4;rpoBseq5;rpoBseq6;rpoBseq7;rpoBseq8;rpoBseq9;rpoBseq10;rpoBseq11;rpoBseq12;rpoBseq13;rpoBseq14;rpoBseq15;rpoBseq16
136;0;197;1;0;0;14;0;0;0;6;7;0;0;0;0;0;0;1;0;0;0;404;0;0;20;0;3;0;0;0;8;0;0;0;0;1;3;0;0;319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
137;0;330;0;0;0;14;0;0;0;4;10;0;0;1;0;0;0;1;0;0;0;695;0;0;7;0;8;0;0;0;7;0;0;3;0;0;1;3;0;619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;0;247;0;0;0;4;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;383;0;0;6;0;1;0;0;0;4;0;0;2;0;0;1;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;0;36;0;0;4;6;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;84;0;0;11;0;1;0;0;8;1;0;0;0;0;0;0;1;0;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;0;394;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;686;0;0;1;0;4;0;0;0;1;0;0;1;0;0;0;0;0;375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;0;116;0;0;7;4;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;304;0;6;6;0;1;0;0;3;0;0;0;1;0;0;0;0;0;560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
143;0;253;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;594;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;0;43;0;0;3;5;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;109;0;0;18;0;2;0;0;1;2;0;0;1;0;0;0;0;0;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
145;0;118;0;0;20;5;0;0;0;1;0;0;0;2;0;0;0;9;0;0;0;317;0;2;1;0;0;0;0;16;1;0;0;0;0;0;0;0;0;219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
146;0;57;0;0;12;8;0;0;0;1;0;0;0;3;0;0;0;1;0;0;0;108;0;13;17;0;2;0;0;3;3;0;0;0;0;0;1;0;0;165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;0;112;0;0;0;15;0;0;0;5;2;0;0;1;0;0;0;0;0;0;0;227;0;0;13;0;3;0;0;1;3;0;0;0;0;0;1;0;0;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;0;253;0;0;1;15;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;449;0;0;21;0;4;0;0;2;6;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;0;60;0;0;7;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;83;0;0;7;0;1;0;0;5;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;0;342;0;0;2;4;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;689;0;0;3;0;3;0;0;0;1;0;0;2;0;0;1;0;0;356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;0;629;0;0;3;12;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;1774;0;1;16;0;4;0;0;1;2;0;0;0;0;0;2;3;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
152;0;382;0;0;1;36;0;0;0;10;4;0;0;1;0;0;0;0;0;0;0;530;0;0;36;0;5;0;0;0;6;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;0;265;0;0;4;17;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;501;0;1;5;0;4;0;0;4;4;0;0;0;0;0;1;1;0;266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;0;213;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;450;0;0;3;0;0;0;0;0;2;0;0;0;0;0;1;0;0;225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
155;0;537;0;0;0;21;0;0;0;11;17;0;0;0;0;0;0;0;0;0;0;774;0;0;14;0;6;0;0;0;9;0;0;3;0;0;3;1;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
156;0;56;0;0;3;7;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;43;0;0;8;0;1;0;0;0;4;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;34;0;0;0;10;0;0;0;0;0;0
157;0;58;0;0;1;5;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;72;0;0;7;0;2;0;0;0;3;0;0;0;0;0;1;1;0;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;13;0;0;0;11;0;0;0;0;0;0
158;0;69;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;81;0;1;2;0;0;0;0;0;3;0;0;0;0;0;1;0;0;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;65;0;0;0;4;0;0;0;0;0;0
159;0;60;0;0;1;39;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;76;0;0;40;0;2;0;0;0;5;0;0;0;0;0;0;0;0;569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;0;61;0;0;0;15;0;0;0;0;0;0
160;0;13;0;0;0;2;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;13;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;6;0;0;0;7;0;0;0;0;0;0
161;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;0;0;0;1;0;0;0;0;0;0
162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3;0;0;0;1;0;0;0;0;0;0
163;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0
165;0;54;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;61;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;19;0;0;0;10;0;0;0;0;0;0
166;0;124;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;164;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;23;0;0;0;10;0;0;0;0;0;0
167;0;25;0;0;0;8;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;48;0;0;9;0;0;0;0;0;2;0;0;0;0;0;0;0;0;391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;67;0;0;0;15;0;0;0;0;0;0
168;0;92;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;7;0;0;0;5;0;0;0;0;0;0
169;0;259;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;377;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;88;0;0;0;28;0;0;0;0;0;0
170;0;123;0;0;0;4;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;143;0;0;7;0;2;0;0;1;4;0;0;0;0;0;1;1;0;217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;35;0;0;0;31;0;0;0;0;0;0
51;299;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;23;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;221;0;0;0;0;0;0;0;0;0;0;0;0;129;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;12;1;0;0;7;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;3;9;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;24;1;0;0;0;0;0;0;2;5;0;0;0;18;4;0;0;0;0;1;0;0;0;0;1;0;0;0;2
53;203;0;0;0;21;0;0;0;0;0;0;0;6;5;2;0;1;0;4;0;0;0;34;16;0;20;0;0;0;4;0;0;2;0;0;0;0;0;25;0;0;0;0;0;0;0;0;5;0;0;0;154;33;0;0;0;0;2;0;0;0;0;4;0;0;0;2
54;90;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;13;1;0;4;0;0;0;0;0;0;2;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;1;41;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;85;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;19;3;0;12;0;0;0;0;0;0;2;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;89;21;0;0;0;0;1;0;0;0;0;0;0;0;0;0
56;84;1;0;0;5;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;18;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;62;0;0;0;0;0;0;0;1;4;0;0;0;56;25;0;0;0;0;1;0;0;0;0;2;0;0;0;3
57;47;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;34;51;0;0;0;0;1;0;0;0;0;0;0;0;0;0
58;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;31;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;254;0;0;0;4;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;35;2;0;18;0;0;0;0;0;0;2;0;0;0;0;0;335;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;96;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;4;1;0;4;0;0;0;0;0;0;1;0;0;0;0;0;183;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;554;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;29;0;0;17;0;0;0;0;0;0;5;1;0;0;0;0;923;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;117;0;0;0;2;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;23;3;0;8;0;0;0;1;0;0;0;0;0;0;0;0;180;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;33;1;0;16;0;0;0;0;0;0;2;0;0;0;0;0;885;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;131;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;37;2;0;11;0;0;0;0;0;0;2;0;0;0;0;0;350;0;0;0;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;79;0;0;0;4;0;0;0;0;0;0;0;1;1;2;0;1;0;0;0;0;0;17;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;105;1;0;0;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;268;0;0;0;4;0;0;0;0;0;0;0;2;1;3;0;1;0;0;0;0;2;47;5;0;9;0;0;0;0;0;0;5;0;0;0;0;0;271;1;0;0;0;0;0;0;2;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;55;0;0;0;16;0;0;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;4;15;0;5;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;347;0;0;0;4;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;52;1;0;4;0;0;0;0;0;0;3;0;0;0;0;0;507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;38;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;18;7;0;8;0;0;0;0;0;0;6;0;0;0;0;0;198;0;0;0;0;0;0;0;2;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;228;0;0;0;3;0;0;0;0;0;0;0;1;1;2;0;1;0;0;0;0;0;29;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;300;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;206;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;422;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;92;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;17;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;50;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0;3;2;0;4;0;0;0;0;0;0;1;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;150;0;0;0;5;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;26;0;1;11;0;0;0;0;0;0;3;0;0;0;0;0;286;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;197;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;15;2;0;8;0;0;0;0;0;0;1;0;0;0;0;0;328;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;112;0;0;0;12;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;10;7;0;12;0;0;0;1;0;0;1;0;0;0;0;0;279;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;156;0;0;0;4;0;0;0;0;0;0;0;3;0;3;0;1;0;0;0;0;0;34;2;0;6;0;0;0;2;0;0;0;0;0;0;0;0;256;1;0;0;1;0;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;139;1;0;0;24;0;0;0;0;0;0;0;2;4;2;0;2;0;0;0;0;0;20;11;0;14;0;0;0;0;0;0;2;1;0;0;0;0;302;0;0;0;1;0;0;0;2;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;187;0;0;0;4;0;0;0;0;0;0;0;1;1;1;0;4;0;0;0;0;0;47;3;0;7;0;0;0;0;0;0;1;0;0;0;0;0;247;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;84;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;10;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;141;0;0;0;8;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;57;2;0;0;8;1;0;0;0;0;0;0;1;2;2;0;3;0;0;0;0;5;15;2;0;3;0;0;0;1;0;0;0;0;0;0;0;0;133;13;0;0;1;0;0;0;6;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;196;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;31;1;0;47;0;0;0;0;0;0;10;0;0;0;0;0;181;0;0;0;0;0;0;0;0;1;0;0;0;183;42;0;0;0;0;0;0;0;0;0;0;0;0;0;1
83;460;0;0;0;95;0;0;0;0;0;0;0;17;3;9;0;0;0;2;0;0;0;26;40;0;52;0;0;0;1;0;0;2;0;0;0;0;0;341;0;0;0;1;0;0;0;0;14;1;0;3;197;73;0;0;0;0;5;0;0;0;0;3;0;0;0;7
84;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;119;0;0;0;0;0;0;0;0;0;0;0;0;76;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;33;1;0;4;0;0;0;2;0;0;2;0;0;0;0;0;137;0;0;0;3;0;0;0;0;1;0;0;0;44;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;33;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;1;41;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;17;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
88;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;30;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;1;0;0;0;0;0;0;0;0;0;0;0;45;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;88;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;63;1;0;0;0;0;0;0;1;0;0;0;0;93;14;0;0;0;0;3;0;0;0;0;0;0;0;0;0
