   	   	seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21
137_nodd	137	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138_nodd	138	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139_nodd	139	0	35	2	4	0	18	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
140_nodd	140	0	4	1	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
141_nodd	141	0	29	0	2	0	17	0	0	0	0	0	0	0	5	2	1	0	0	0	0	0
142_nodd	142	0	23	3	1	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
143_nodd	143	0	33	1	0	0	16	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
144_nodd	144	0	37	2	1	0	11	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
145_nodd	145	0	17	3	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
146_nodd	146	2	47	5	1	0	9	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0
147_nodd	147	0	4	15	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
148_nodd	148	0	52	1	1	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
149_nodd	149	0	18	7	2	0	8	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0
150_nodd	150	0	29	0	1	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
151_nodd	151	0	8	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
152_nodd	152	0	17	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153_nodd	153	0	3	2	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
154_nodd	154	0	26	0	0	1	11	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
155_nodd	155	0	15	2	2	0	8	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
156_nodd	156	0	10	7	1	0	12	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
157_nodd	157	0	34	2	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
