	seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21
29_nodd	0	0	6	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	
2_nodd	0	10	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	
30_nodd	0	238	15	11	0	0	2	34	0	0	0	0	0	0	0	1	0	1	0	0	0	
31_nodd	0	12	0	0	0	0	10	3	0	1	0	0	0	0	0	0	0	0	0	0	0	
32_nodd	0	184	0	2	0	0	43	1	0	0	0	0	0	0	0	5	0	0	0	0	0	
33_nodd	0	8	61	0	0	0	4	31	0	0	14	0	0	0	0	0	0	4	0	0	0	
34_nodd	0	9	4	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
35_nodd	0	11	0	0	0	0	3	0	0	1	7	0	0	0	0	0	0	0	0	0	0	
36_nodd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37_nodd	0	2	170	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	
38_nodd	0	3	1	1	0	0	3	23	0	0	2	0	0	0	0	0	0	0	0	0	0	
39_nodd	0	150	13	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
3_nodd	0	4	0	0	0	0	9	2	0	0	0	0	3	0	0	0	0	0	0	0	2	
40_nodd	0	62	0	0	2	0	11	2	0	30	2	0	0	0	0	0	0	0	0	0	0	
41_nodd	0	1	0	0	0	0	19	0	0	0	0	0	5	0	0	0	0	0	0	0	1	
42_nodd	0	13	0	1	0	0	3	0	0	0	0	0	30	0	0	0	0	0	0	0	0	
43_nodd	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
44_nodd	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
45_nodd	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
46_nodd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
47_nodd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48_nodd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49_nodd	0	32	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
4_nodd	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
50_nodd	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	1	0	0	
51_nodd	0	41	0	8	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	
52_nodd	0	91	0	7	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	
53_nodd	0	464	0	85	0	0	0	3	18	0	0	0	0	0	0	0	1	0	0	0	0	
54_nodd	0	92	0	12	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0	
55_nodd	0	113	0	45	0	0	0	0	38	0	1	0	0	0	0	0	10	0	0	0	1	
56_nodd	0	13	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
57_nodd	0	12	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
58_nodd	0	1	0	5	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	
59_nodd	0	106	0	35	0	0	0	0	8	0	0	0	0	0	0	1	1	0	0	0	0	
5_nodd	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
60_nodd	0	14	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61_nodd	0	14	0	9	0	0	0	0	13	0	0	0	0	0	0	0	5	0	0	0	0	
62_nodd	0	17	0	6	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	
63_nodd	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
64_nodd	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
65_nodd	0	44	0	19	0	0	0	0	15	0	0	0	0	0	0	0	2	0	0	0	0	
66_nodd	0	8	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
67_nodd	0	5	0	3	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	
68_nodd	0	1	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
69_nodd	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6_nodd	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
70_nodd	0	38	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
71_nodd	0	6	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
72_nodd	0	34	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
73_nodd	0	11	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
74_nodd	0	27	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
75_nodd	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
