		seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16
31_rpob	31	0	0	0	0	0	0	0	5	6	0	0	0	2	0	0	0
32_rpob	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_rpob	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34_rpob	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35_rpob	35	3	0	0	0	1	0	0	1	41	0	2	1	2	0	0	0
36_rpob	36	32	10	74	0	1	0	14	0	0	0	0	0	0	0	0	0
37_rpob	37	1	4	327	0	0	0	1	0	0	0	0	0	0	1	0	0
38_rpob	38	1	1	0	0	48	0	0	0	0	0	0	1	0	0	1	0
39_rpob	39	61	187	394	0	2	0	0	0	0	0	0	0	0	8	0	1
40_rpob	40	25	8	0	3	0	0	0	14	28	0	1	0	1	0	0	0
41_rpob	41	0	0	0	0	0	0	0	7	34	0	7	0	10	0	0	0
42_rpob	42	0	0	0	0	0	0	0	12	15	0	5	0	3	0	0	0
43_rpob	43	4	0	0	0	8	0	0	0	0	0	0	1	0	0	0	2
44_rpob	44	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
45_rpob	45	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
46_rpob	46	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
47_rpob	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48_rpob	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49_rpob	49	3	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0
50_rpob	50	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0
51_rpob	51	30	70	0	0	0	0	3	0	0	0	0	0	0	0	0	0
52_rpob	52	109	112	0	0	0	0	18	0	0	0	0	0	0	0	0	0
53_rpob	53	12	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0
54_rpob	54	209	139	0	0	0	0	15	0	0	0	0	0	0	0	0	0
55_rpob	55	292	74	0	0	0	0	105	0	0	0	0	0	0	0	0	0
56_rpob	56	18	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0
57_rpob	57	42	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0
58_rpob	58	57	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
59_rpob	59	120	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60_rpob	60	16	35	0	0	0	0	5	0	0	0	0	0	0	0	0	0
61_rpob	61	74	30	0	0	0	0	2	0	0	0	0	0	0	0	0	0
62_rpob	62	13	31	0	0	0	0	1	0	0	0	0	0	0	0	0	0
63_rpob	63	23	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
64_rpob	64	19	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65_rpob	65	113	12	0	0	0	0	20	0	0	0	0	0	0	0	0	0
66_rpob	66	79	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0
67_rpob	67	48	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0
68_rpob	68	78	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0
69_rpob	69	30	74	0	0	0	0	1	0	0	0	0	0	0	0	0	0
70_rpob	70	70	34	0	0	0	0	16	0	0	0	0	0	0	0	0	0
71_rpob	71	52	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72_rpob	72	116	50	0	0	0	0	7	0	0	0	0	0	0	0	0	0
73_rpob	73	26	12	0	0	0	0	23	0	0	0	0	0	0	0	0	0
74_rpob	74	89	17	0	0	0	0	9	0	0	0	0	0	0	0	0	0
75_rpob	75	6	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
76_rpob	76	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77_rpob	77	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78_rpob	78	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
