	seqr_1	seqr_2	seqr_3	seqr_4	seqr_5	seqr_6	seqr_7	seqr_8	seqr_9	seqr_10	seqr_11	seqr_12	seqr_13	seqr_14	seqr_15	seqr_16	seqr_17	seqr_18	seqr_19	seqr_20	seqr_21	seqr_22	seqr_23	seqr_24	seqr_25	seqr_26	seqr_27	seqr_28	seqr_29	seqr_30	seqr_31	seqr_32	seqr_33	seqr_34	seqr_35	seqr_36	seqr_37	seqr_38	seqr_39	seqr_40	seqr_41	seqr_42	seqr_43	seqr_44	seqr_45	seqr_46	seqr_47	seqr_48	seqr_49	seqr_50	seqr_51	seqr_52	seqr_53	seqr_54	seqr_55	seqr_56	seqr_57	seqr_58	seqr_59	seqr_60	seqr_61	seqr_62	seqr_63	seqr_64	seqr_65	seqr_66	seqr_67	seqr_68	seqr_69	seqr_70	seqr_71	seqr_72	seqr_73	seqr_74	seqr_75	seqr_76	seqr_77	seqr_78	seqr_79	seqr_80	seqr_81	seqr_82	seqr_83	seqr_84	seqr_85	seqr_86	seqr_87	seqr_88	seqr_89	seqr_90	seqr_91	seqr_92	seqr_93	seqr_94	seqr_95	seqr_96	seqr_97	seqr_98	seqr_99	seqr_100	seqr_101	seqr_102	seqr_103	seqr_104	seqr_105	seqr_106	seqr_107	seqr_108	seqr_109	seqr_110	seqr_111	seqr_112	seqr_113
119_rpob	3	0	17862	0	0	14599	0	0	0	5989	0	0	0	0	0	0	0	0	0	0	0	0	917	0	0	0	0	0	199	0	0	0	0	0	479	8	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	200	0	0	0	414	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	491	0	0	0	200	0	0	0	2	0	2	175	0	0	0	142	0	0	0	0	207	0	0	0	0	0	90	
11_rpob	2190	11490	10	991	2528	0	176	3253	2605	0	115	2685	1015	170	75	16	145	0	1689	1341	27	101	1	36	24	166	2099	1447	102	228	352	7	872	0	0	27	1	360	34	58	0	0	64	0	231	0	367	33	389	35	13	29	197	84	182	0	0	1	51	0	0	0	173	1	0	41	81	10	8	902	0	38	46	18	2	265	275	135	0	321	368	4	0	1	272	0	0	124	191	12	0	9	197	0	8	48	1	0	512	0	404	0	68	2	228	6	0	10	326	61	0	13	0	
120_rpob	0	0	11314	0	0	4094	0	0	1	4147	0	0	0	0	0	0	0	0	0	0	0	0	1083	0	0	0	0	0	113	0	0	0	0	0	927	0	0	0	0	0	0	0	0	759	0	0	0	0	0	0	0	0	0	0	0	0	547	0	0	0	303	0	0	0	14	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	415	1	0	0	147	0	0	0	389	0	0	0	0	0	1	148	0	0	0	353	0	0	0	0	130	0	0	0	0	2	713	
121_rpob	0	0	2479	0	0	2405	0	0	0	2030	0	0	0	0	0	0	0	0	0	0	0	0	579	0	0	0	0	0	35	0	0	2	0	0	155	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	181	0	0	0	151	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	69	2	0	0	72	0	0	7	1	0	0	147	0	0	0	60	0	0	0	0	102	0	0	0	0	0	4	
122_rpob	1	0	3716	0	0	2305	0	0	0	1906	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	2	0	0	0	0	0	58	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	31	0	0	0	1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	84	0	0	0	38	0	0	0	0	0	0	26	0	0	0	30	0	0	0	0	191	0	0	0	0	0	0	
123_rpob	5	1	2434	0	0	800	0	0	0	687	0	0	0	0	0	0	0	1	0	0	0	0	237	0	0	0	0	0	45	0	0	0	0	0	489	0	0	0	0	1	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	94	1	0	0	54	0	0	0	56	0	1	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	27	0	0	0	145	0	0	0	0	0	0	23	0	0	0	143	0	0	0	0	37	0	0	0	0	0	22	
124_rpob	4	1	1460	0	0	2428	0	0	0	1165	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	23	0	0	0	7	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	80	0	0	0	4	0	0	0	0	0	1	38	0	0	0	4	0	0	0	0	51	0	0	0	0	0	16	
125_rpob	1	1	9023	0	0	8016	0	0	0	4049	0	0	0	0	0	0	0	0	0	0	0	0	442	0	0	0	0	0	39	0	0	0	0	0	1113	0	0	0	0	0	0	0	0	481	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	74	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	354	0	0	0	376	0	0	0	0	0	2	98	0	0	0	423	0	0	0	0	124	0	0	0	0	0	214	
126_rpob	4	5	15122	0	0	7163	0	0	0	5597	0	0	0	0	0	0	0	0	0	0	0	0	708	0	0	0	0	0	153	0	0	0	0	0	1054	0	0	0	0	0	0	0	0	1079	0	1	0	0	0	0	0	0	0	0	0	0	636	0	0	0	170	0	0	0	1006	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	235	0	0	0	767	0	0	0	0	0	2	97	0	0	0	411	0	0	0	0	397	0	0	0	0	0	2	
127_rpob	7	2	16342	1	0	14930	0	0	0	7914	0	0	0	0	0	0	0	0	0	0	0	0	996	0	0	0	0	0	26	0	0	0	0	0	99	0	0	0	0	0	0	0	0	163	0	0	0	1	0	0	0	0	0	0	0	0	718	0	0	0	350	0	0	0	210	0	0	1	0	0	119	0	0	0	0	0	0	0	0	0	0	0	382	0	0	1	506	0	0	0	111	0	0	0	0	0	1	331	0	0	0	37	0	0	0	0	273	0	0	0	0	0	6	
