	seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13
91_reca	0	419	0	0	0	0	0	0	0	0	0	0	0	
92_reca	0	215	0	0	0	0	0	0	0	0	0	0	0	
93_reca	0	609	0	0	0	0	0	0	0	0	0	0	0	
94_reca	0	479	0	0	0	0	0	0	0	0	0	0	0	
95_reca	0	558	0	0	0	0	0	0	0	0	0	0	0	
96_reca	0	319	0	0	0	0	0	0	0	0	0	0	0	
97_reca	0	619	0	0	0	0	0	0	0	0	0	0	0	
98_reca	0	90	0	0	0	0	0	0	0	0	0	0	0	
99_reca	0	480	0	0	0	0	0	0	0	0	0	0	0	
9_reca	851	0	10	0	0	0	0	0	0	0	0	4	2	
total	20041	9630	1861	709	452	196	131	75	70	47	47	36	36
seconds	10	1	4	21	10	11	5	3	4	3	10	5	8
