		seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13
137_reca	137	49	0	0	0	0	0	0	0	0	0	0	0	0
138_reca	138	3	0	0	0	0	0	0	0	0	0	0	0	0
139_reca	139	335	0	0	0	0	0	0	0	1	0	1	2	0
140_reca	140	183	0	0	0	0	0	0	0	0	0	1	0	1
141_reca	141	923	0	0	0	0	0	0	0	0	0	1	0	0
142_reca	142	180	0	0	0	0	0	0	0	1	0	1	0	1
143_reca	143	885	0	0	0	0	0	0	0	0	0	2	1	0
144_reca	144	350	0	0	0	0	0	0	0	1	0	2	1	1
145_reca	145	105	1	0	0	0	0	0	0	1	3	0	1	0
146_reca	146	271	1	0	0	0	0	0	0	2	3	0	1	1
147_reca	147	82	0	0	0	0	0	0	0	1	0	0	0	0
148_reca	148	507	0	0	0	0	0	0	0	0	0	0	0	0
149_reca	149	198	0	0	0	0	0	0	0	2	1	1	4	1
150_reca	150	300	0	0	0	0	1	0	0	2	0	0	0	0
151_reca	151	422	0	0	0	0	0	0	0	0	0	0	1	3
152_reca	152	84	0	0	0	0	0	0	0	0	0	0	0	0
153_reca	153	69	0	0	0	0	0	0	0	0	0	0	0	2
154_reca	154	286	0	0	0	1	0	0	0	1	0	2	0	0
155_reca	155	328	0	0	0	0	0	0	0	0	0	1	0	0
156_reca	156	279	0	0	0	0	0	0	0	1	0	0	0	2
157_reca	157	256	1	0	0	1	0	0	0	1	1	0	1	2
158_reca	158	302	0	0	0	1	0	0	0	2	1	1	0	2
159_reca	159	247	0	0	0	0	0	0	0	0	6	0	0	1
160_reca	160	141	0	0	0	8	0	0	0	1	0	1	0	0
161_reca	161	133	13	0	0	1	0	0	0	6	2	0	0	1
162_reca	162	181	0	0	0	0	0	0	0	0	1	0	0	0
163_reca	163	341	0	0	0	1	0	0	0	0	14	1	0	3
164_reca	164	119	0	0	0	0	0	0	0	0	0	0	0	0
165_reca	165	137	0	0	0	3	0	0	0	0	1	0	0	0
166_reca	166	13	0	0	0	0	0	0	0	0	0	0	0	1
167_reca	167	17	1	0	0	0	0	0	0	0	0	0	0	0
168_reca	168	1	0	0	0	0	0	0	0	0	0	0	0	0
169_reca	169	34	1	0	0	0	0	0	0	0	0	0	0	0
170_reca	170	63	1	0	0	0	0	0	0	1	0	0	0	0
seconds	seconds	10	1	4	21	10	11	5	3	4	3	10	5	8
total	total	20041	9630	1861	709	452	196	131	75	70	47	47	36	36
